time,Y,Ybar,Ybar_lo,Ybar_hi
1,657,681.216871828764,578.273347731024,754.642229999815
2,636,705.643221070874,514.994055326939,854.936960022628
3,984,742.167096036124,522.007906329356,927.85411507193
4,1078,777.351572604521,593.102088993307,946.668070455468
5,927,809.447276087246,712.250969861047,912.380552540665
6,697,841.636985589315,799.911854667086,901.219977632623
7,957,881.126067883007,731.095240403643,1125.00892591398
8,702,939.779993996122,615.993737385775,1481.26581612554
9,NA,1036.05719495235,503.375654324373,2032.23516375172
10,NA,1198.82769447729,402.02413747606,2921.43562821029
